"HolderAddress","Balance"
"0x7c9f6b5707fa8177984dfdc99d31ced563671f83","320451967.733888"
"0x81be7b2c6cbdc226dbef5241d2380eab027f7ffc","434109339.836951"
"0x820da45c2641421a26314b271c6314abb922a3b8","1034715973.83553"
"0x841fc79443e3ae96b717c7acab9268da0722bf2a","29210474.2127572"
"0x8604bd5e7e461a544806d2d098d4239fe1b59828","4898852073.47136"
"0x8723af66e4377df827b9135b8bca3d4352d0f130","462032701.725142"
"0x8cb8ea59dc3650378327913d14ba981b97cae3d7","725808496.081512"
"0x8fb3acf45de63712b762a06bd360eaff18e98888","294639291.748486"
"0x90d9f88b901cf0b282bafaacbcca9be09d3cee69","1019195417.40115"
"0x92cdc5ae03b2859a69a12c125b4ff130428698d4","330122783.063558"
"0x9487ebcf5fa24254726807b9aecfa97c5b627122","52487918.2898434"
"0x97f0cc8499d1d87b367b54a8718055bb42d72fe8","372718475.715109"
"0x98446e6eba4d2f56468feb788d766e4970975893","248664251.859216"
"0x98d666a0a3e30399ee617fa7c9ba6d3ae003b8e6","2381020997.4377"
"0x9b2ed0ca230816d4be3e18eac7260803f95a8b57","2605442663.33941"
"0x9bf59005baeaecaa3db4d75dedacc445b31af0f9","48032125.8761732"
"0x9df53ded25dbf14de92ca6f25b5776d29aa471c2","113811403.705544"
"0xa18aa7d05f50b3c013c3de9ae63217a78e40859f","124262334.268809"
"0xa1c71dd36b10009012b01b9e82f9b749286f12c6","1000000000"
"0xa290ce9d436c702813140c670dda357e76b8e6b6","11104690.6773887"
"0xa3b6630e785905328e6023ee8cd21c26c9626384","129037899.742058"
"0xa574225ffa9b40db38d387b041484c0c1a499098","450961413.010991"
"0xaf1dab3dd776a8820c8bc073e473a2e785eb99ce","5952498240.69477"
"0xb4705fd75ac926ff84a2467eb39a0be12892641f","296333994.906699"
"0xb4c162af0531cfd40dad4c98fbfab38985c35b1f","599722216.964968"
"0xb60bfd02207823360263ed5886c9f3c240a05045","2000000000"
"0xb81382e84ed6583b3a879fd14b39e7bdc8a3b9a1","1136153422.3037"
"0xb95b31088b131e587d4a8bdcf7fbadbc6b15b241","8584788.97851108"
"0xba8250a68ab4d6f1789be36f468634b1bccfa292","37239408.6384614"
"0xbf0f79932e3e136a0a948fd6a8aa4ca8ccfe0ee1","8528841353.52436"
"0xc496d84215d5018f6f53e7f6f12e45c9b5e8e8a9","547876799.435616"
"0xc875ee6409563a2becbd8ca64fe42bc09d969dd2","250402004.666011"
"0xcfc42ffec0f9fb643a7e01a53e7e0bdfd90a66a6","494256384.576865"
"0xd35b07c912fc53045e9b16623c7edf2ce8dbf3a4","2528651919.71902"
"0xd5ba22c2323f65616860b0521eab5929549db4d9","420000000"
"0xd75977dcd76a69903597af9d411130c2696b3108","1275447195.3461"
"0xd8048483c6560cd5d018408a7689a995b65e7bda","801573717.013337"
"0xd8d68a1564b324fc0bfb78fa57387b1c71c403da","1052373847.49753"
"0xe31b21005f3417cc30438106d60e3bd5a6721345","800000000"
"0xe35ff4889bec4b621bf3917d4144fc78cd12e4d7","390816232.157945"
"0xea798f92e28e972861ee13a2dc0feb1a6f47b76e","871854000"
"0xec03f64ea15112a4f957b070126c803377cb8f92","378907689.317504"
"0xee01edf47fa564968651945fe9a9bfec94222594","280000000"
"0xee3c21c21848ed1c787c7c0205e8de40722846d6","148909959.438275"
"0xef028a4c84a69f54f01f0e671bec293c8f04fc6a","101151266.140392"
"0xf20f5db72a7e08c55b352a53f2e8032f7678ffbe","200000000"
"0xf8892d3eed9bcd1ecc0f5ab188d99b471de32349","1900099650.6885"
"0xf99983c1b128b87bed9ae10ec19df12fefdeb822","260746776.689844"
"0xfa7655d3ec2446eccc375adedca83b634ec9bf36","35739822.8541849"
"0xfc4d7cdf09fa9a8d2fc8c428fb6bd30aa93fc76e","1703012327.625"
"0xfc8e3819c2df3638fc91a06d4239a5d3acf16947","37232575.7207238"
"0xfe4fd2b0d5d4ae6eb99b7a66ca55cf6d07f5e8a8","152407000"
"0xffc935b151432cea4d0ca69a72c8b58a38028b56","119128662.12193"
